web-scraper-order,web-scraper-start-url,firstLetters,firstLetters-href,testNames
"1522321715-1037","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","Pads for Urinary Incontinence (Urinary Incontinence Products for Men)"
"1522321830-1450","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","D","https://www.medicinenet.com/procedures_and_tests/alpha_d.htm","Discogram"
"1522321749-1215","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","L","https://www.medicinenet.com/procedures_and_tests/alpha_l.htm","Liver Transplant"
"1522321788-1311","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","H","https://www.medicinenet.com/procedures_and_tests/alpha_h.htm","Hysteroscopy"
"1522321845-1522","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","Colposcopy"
"1522321688-943","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","S","https://www.medicinenet.com/procedures_and_tests/alpha_s.htm","Screening Test, Quad Marker (Quad Marker Screen Test)"
"1522321742-1173","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","M","https://www.medicinenet.com/procedures_and_tests/alpha_m.htm","Mouth Guards"
"1522321715-1076","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","Plastic Surgery, Neck Lift (Neck Lift Cosmetic Surgery)"
"1522321822-1368","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","Electrophysiology Test"
"1522321733-1144","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","N","https://www.medicinenet.com/procedures_and_tests/alpha_n.htm","Newborn Infant Hearing Screening"
"1522321749-1209","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","L","https://www.medicinenet.com/procedures_and_tests/alpha_l.htm","Liposculpture (Liposuction)"
"1522321742-1151","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","M","https://www.medicinenet.com/procedures_and_tests/alpha_m.htm","Mammography (Mammogram)"
"1522321715-1042","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","Parenting Classes (Pregnancy: Birthing and Parenting Classes)"
"1522321699-1030","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","R","https://www.medicinenet.com/procedures_and_tests/alpha_r.htm","Rheumatoid Factor"
"1522321845-1497","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","Chin, Cheek, and Jaw Implants"
"1522321860-1653","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","A","https://www.medicinenet.com/procedures_and_tests/alpha_a.htm","Alpha-fetoprotein Blood Test"
"1522321845-1486","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","Cervista HPV Test (Cervista HPV Test)"
"1522321688-1009","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","S","https://www.medicinenet.com/procedures_and_tests/alpha_s.htm","Sweat Chloride Test"
"1522321852-1572","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Basal Body Temperature Method of Birth Control (Natural Methods of Birth Control)"
"1522321715-1085","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","PPD Skin Test (Tuberculosis Skin Test (PPD Skin Test))"
"1522321667-864","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","U","https://www.medicinenet.com/procedures_and_tests/alpha_u.htm","Urine Tests for Diabetes (Urine Tests for Diabetes)"
"1522321845-1512","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","CNB (Breast Biopsy)"
"1522321852-1608","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Bone Marrow Transplantation for Breast Cancer"
"1522321822-1385","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","Enhancement, Lip (Lip Augmentation)"
"1522321845-1464","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","C-Section (Cesarean Birth)"
"1522321678-885","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Testosterone Therapy to Treat ED"
"1522321742-1164","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","M","https://www.medicinenet.com/procedures_and_tests/alpha_m.htm","Microdermabrasion"
"1522321678-876","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Test, Esophageal pH (Esophageal pH Monitoring)"
"1522321788-1300","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","H","https://www.medicinenet.com/procedures_and_tests/alpha_h.htm","Homograft Valve (Heart Valve Disease Treatment)"
"1522321678-884","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Test, Triglycerides (Triglyceride Test)"
"1522321822-1370","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","Electrothermal Therapy (Transcutaneous Electrical Nerve Stimulation)"
"1522321845-1483","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","Cervical Cancer Test (Cervista HPV Test)"
"1522321852-1604","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Blue Light Therapy (Photodynamic Therapy)"
"1522321725-1122","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","O","https://www.medicinenet.com/procedures_and_tests/alpha_o.htm","OCPs (Hormonal Methods of Birth Control)"
"1522321822-1386","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","Enteroscopy, Balloon (Balloon Endoscopy)"
"1522321715-1070","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","Physical Therapy for Arthritis (Arthritis Physical and Occupational Therapy)"
"1522321742-1176","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","M","https://www.medicinenet.com/procedures_and_tests/alpha_m.htm","Mucus Inspection Method of Birth Control (Natural Methods of Birth Control)"
"1522321667-863","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","U","https://www.medicinenet.com/procedures_and_tests/alpha_u.htm","Urine Tests for Diabetes"
"1522321852-1570","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Barium Swallow (Upper GI Series)"
"1522321852-1624","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Breast Reconstruction Without Implants"
"1522321749-1212","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","L","https://www.medicinenet.com/procedures_and_tests/alpha_l.htm","Liver Blood Tests"
"1522321845-1467","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","Calendar Rhythm Method of Birth Control (Natural Methods of Birth Control)"
"1522321852-1600","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Blood, Platelet Count (Complete Blood Count)"
"1522321749-1197","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","L","https://www.medicinenet.com/procedures_and_tests/alpha_l.htm","LASIK Eye Surgery"
"1522321749-1227","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","L","https://www.medicinenet.com/procedures_and_tests/alpha_l.htm","Lymphopheresis (Hemapheresis)"
"1522321749-1199","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","L","https://www.medicinenet.com/procedures_and_tests/alpha_l.htm","LDL Cholesterol Test (Cholesterol Test)"
"1522321657-830","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","V","https://www.medicinenet.com/procedures_and_tests/alpha_v.htm","Vaccination FAQs"
